source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260323_000000.BIN,3576.03,90.91,0.00,0,0,0,nan,nan,nan,0.066,-0.188,0.00,0.0,0.0,3576.0,0.0,0.0,0,0,0.000,0,0.22,0.27
DATA_20260323_010000.BIN,3573.30,90.91,0.00,0,0,0,nan,nan,nan,-0.009,0.016,0.00,0.0,0.0,3573.3,0.0,0.0,0,0,0.000,0,0.04,0.07
DATA_20260323_020000.BIN,3575.34,90.91,0.00,0,0,0,nan,nan,nan,0.038,-0.073,0.00,0.0,0.0,3575.3,0.0,0.0,0,0,0.000,0,0.14,0.23
DATA_20260323_030000.BIN,3574.63,90.91,0.00,0,0,0,nan,nan,nan,0.015,-0.050,0.00,0.0,0.0,3574.6,0.0,0.0,0,0,0.000,0,0.08,0.13
DATA_20260323_040000.BIN,3575.76,90.91,0.00,0,0,0,nan,nan,nan,-0.008,0.040,0.00,0.0,0.0,3575.8,0.0,0.0,0,0,0.000,0,0.07,0.09
DATA_20260323_050000.BIN,1595.14,90.91,0.00,0,0,0,nan,nan,nan,0.000,-0.241,-93.63,0.0,0.0,1595.1,0.0,0.0,0,0,0.000,0,0.03,0.06
DATA_20260323_092715.BIN,1942.95,90.91,614.22,95,95,0,3.313,14.174,10.861,-2.879,-1.594,0.00,663.3,583.7,664.0,32.0,194.8,63,13,1.282,9,23.35,76.56
DATA_20260323_100009.BIN,3576.86,90.91,1848.04,73,73,0,7.207,30.396,23.190,12.350,-15.988,0.00,1557.8,1806.9,144.5,67.7,230.6,129,19,1.260,20,57.03,76.91
DATA_20260323_110000.BIN,3582.97,90.91,1755.23,46,46,0,13.146,28.248,15.102,20.459,10.742,172.16,1804.8,1328.1,321.3,128.8,443.7,254,31,1.279,32,60.57,87.51
DATA_20260323_120000.BIN,3581.71,90.91,1359.62,89,89,0,5.580,25.680,20.099,2.626,-8.288,16.33,993.9,2208.9,293.4,85.6,401.8,159,32,1.271,18,47.07,97.52
DATA_20260323_130000.BIN,3582.46,90.91,1057.17,67,67,0,10.022,36.417,26.395,15.696,23.482,148.81,2530.8,926.0,70.6,55.0,460.4,110,36,1.282,9,79.59,112.87
DATA_20260323_140000.BIN,3583.02,90.91,1383.84,113,113,0,8.799,33.608,24.809,21.607,-1.321,131.55,2010.8,1152.8,222.6,196.9,631.4,372,49,1.268,37,64.46,106.72
DATA_20260323_150000.BIN,3582.44,90.91,1805.08,272,272,0,3.703,15.509,11.806,5.624,13.375,-9.33,1650.4,1325.3,463.9,142.9,708.5,282,58,1.267,30,53.43,100.49
DATA_20260323_160000.BIN,809.74,90.91,335.90,42,42,0,4.138,23.528,19.390,11.334,1.825,100.37,503.2,148.0,141.0,17.5,161.6,34,11,1.283,3,75.03,105.96
DATA_20260323_194422.BIN,916.07,90.91,0.00,0,0,0,nan,nan,nan,-0.143,-0.115,0.00,0.0,0.0,916.1,0.0,0.0,0,0,0.000,0,0.24,0.29
DATA_20260323_200000.BIN,3586.85,90.91,0.00,0,0,0,nan,nan,nan,-0.047,-0.036,0.00,0.0,0.0,3586.8,0.0,0.0,0,0,0.000,0,0.05,0.09
DATA_20260323_210000.BIN,3578.28,90.91,0.00,0,0,0,nan,nan,nan,0.006,0.011,0.00,0.0,0.0,3578.3,0.0,0.0,0,0,0.000,0,0.04,0.07
DATA_20260323_220000.BIN,3578.83,90.91,0.00,0,0,0,nan,nan,nan,0.017,0.017,0.00,0.0,0.0,3578.8,0.0,0.0,0,0,0.000,0,0.04,0.11
DATA_20260323_230000.BIN,3577.20,90.91,0.00,0,0,0,nan,nan,nan,0.044,-0.013,0.00,0.0,0.0,3577.2,0.0,0.0,0,0,0.000,0,0.15,0.18
