source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260310_130000.BIN,3591.12,90.91,126.02,5,5,0,29.140,49.190,20.049,-17.986,-6.716,-72.09,1660.6,1171.3,757.2,2.0,15.3,4,1,1.272,3,49.57,100.21
DATA_20260310_140000.BIN,3588.99,90.91,560.05,71,71,0,4.215,19.114,14.898,-6.612,44.965,-54.24,1877.9,263.9,1438.0,9.2,189.3,21,22,1.270,2,109.30,147.06
DATA_20260310_150000.BIN,3592.82,90.91,522.48,6,6,0,5.907,21.260,15.353,37.157,27.274,85.81,238.3,2360.1,955.5,38.9,165.4,77,14,1.292,12,34.56,43.82
DATA_20260310_160000.BIN,3592.24,90.91,2330.06,374,374,0,2.639,11.913,9.275,-13.596,19.469,171.65,536.2,2642.6,294.9,118.4,623.6,239,49,1.275,21,52.10,66.82
DATA_20260310_170000.BIN,3593.81,90.91,483.60,37,37,0,3.850,20.086,16.236,22.673,15.052,152.44,68.1,2177.1,1312.7,35.9,131.6,67,11,1.278,10,32.84,49.02
DATA_20260310_180000.BIN,689.26,90.91,103.09,24,24,0,1.735,8.160,6.425,20.127,-2.064,133.45,79.0,446.4,159.8,4.0,15.1,8,2,1.259,1,37.67,85.84
DATA_20260310_224632.BIN,577.50,90.91,0.00,0,0,0,nan,nan,nan,-0.013,0.056,0.00,0.0,0.0,577.5,0.0,0.0,0,0,0.000,0,0.06,0.12
DATA_20260310_233514.BIN,1474.56,90.91,0.00,0,0,0,nan,nan,nan,0.002,0.106,0.00,0.0,0.0,1474.6,0.0,0.0,0,0,0.000,0,0.11,0.16
