source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260313_000000.BIN,735.78,90.91,0.00,0,0,0,nan,nan,nan,0.015,0.021,0.00,0.0,0.0,735.8,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260313_010000.BIN,169.15,90.91,0.00,0,0,0,nan,nan,nan,0.003,-0.007,0.00,0.0,0.0,169.1,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260313_020000.BIN,139.47,90.91,0.00,0,0,0,nan,nan,nan,0.013,0.008,0.00,0.0,0.0,139.5,0.0,0.0,0,0,0.000,0,0.01,0.04
DATA_20260313_030000.BIN,3591.63,90.91,0.00,0,0,0,nan,nan,nan,0.021,0.105,0.00,0.0,0.0,3591.6,0.0,0.0,0,0,0.000,0,0.02,0.04
DATA_20260313_040000.BIN,3586.11,90.91,0.00,0,0,0,nan,nan,nan,0.032,0.089,0.00,0.0,0.0,3586.1,0.0,0.0,0,0,0.000,0,0.03,0.06
DATA_20260313_050000.BIN,1429.32,90.91,0.00,0,0,0,nan,nan,nan,0.011,0.052,0.00,0.0,0.0,1429.3,0.0,0.0,0,0,0.000,0,0.02,0.04
DATA_20260313_090000.BIN,3589.98,90.91,1964.84,149,149,0,4.861,16.664,11.802,-3.846,-33.712,-60.33,1272.6,1284.3,938.7,94.4,422.7,187,32,1.269,21,50.10,70.37
DATA_20260313_100000.BIN,3588.42,90.91,1073.34,159,159,0,3.123,17.515,14.392,5.428,-14.124,152.84,1853.3,1386.3,223.7,125.1,284.3,248,25,1.269,31,68.23,71.22
DATA_20260313_110000.BIN,3589.51,90.91,930.27,168,168,0,3.310,13.164,9.855,5.370,1.615,149.96,1490.3,450.0,1514.9,134.3,403.9,265,32,1.274,29,39.98,72.49
DATA_20260313_120000.BIN,3587.93,90.91,1123.63,164,164,0,3.110,14.980,11.871,2.240,-17.254,-16.22,516.5,2514.4,462.0,94.9,395.6,190,31,1.276,16,27.16,66.11
DATA_20260313_130000.BIN,3589.11,90.91,794.57,152,152,0,2.573,11.064,8.492,6.543,-7.929,156.35,921.4,1960.7,597.7,109.3,247.9,218,22,1.265,34,33.80,67.51
DATA_20260313_140000.BIN,96.48,90.91,39.62,17,17,0,13.838,26.995,13.157,3.807,0.348,-165.21,23.0,6.9,66.6,0.0,19.5,0,2,1.300,0,0.42,77.89
DATA_20260313_200111.BIN,425.31,90.91,0.00,0,0,0,nan,nan,nan,-0.327,-0.253,0.00,0.0,0.0,425.3,0.0,0.0,0,0,0.000,0,0.10,0.12
DATA_20260313_200847.BIN,401.13,90.91,0.00,0,0,0,nan,nan,nan,-0.019,-0.031,0.00,0.0,0.0,401.1,0.0,0.0,0,0,0.000,0,0.10,0.12
DATA_20260313_202048.BIN,657.43,90.91,0.00,0,0,0,nan,nan,nan,0.247,0.183,0.00,0.0,0.0,657.4,0.0,0.0,0,0,0.000,0,0.26,0.27
DATA_20260313_203252.BIN,946.70,90.91,0.00,0,0,0,nan,nan,nan,-0.218,-0.168,0.00,0.0,0.0,946.7,0.0,0.0,0,0,0.000,0,0.10,0.11
DATA_20260313_210000.BIN,254.12,90.91,0.00,0,0,0,nan,nan,nan,-0.010,-0.016,0.00,0.0,0.0,254.1,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260313_210451.BIN,1737.64,90.91,0.00,0,0,0,nan,nan,nan,0.125,0.096,0.00,0.0,0.0,1737.6,0.0,0.0,0,0,0.000,0,0.10,0.12
DATA_20260313_213506.BIN,693.09,90.91,0.00,0,0,0,nan,nan,nan,-0.002,-0.025,0.00,0.0,0.0,693.1,0.0,0.0,0,0,0.000,0,0.04,0.07
DATA_20260313_220000.BIN,1101.15,90.91,0.00,0,0,0,nan,nan,nan,0.042,0.017,0.00,0.0,0.0,1101.2,0.0,0.0,0,0,0.000,0,0.08,0.12
DATA_20260313_222053.BIN,405.51,90.91,0.00,0,0,0,nan,nan,nan,-0.004,-0.055,0.00,0.0,0.0,405.5,0.0,0.0,0,0,0.000,0,0.05,0.06
DATA_20260313_230000.BIN,499.70,90.91,0.00,0,0,0,nan,nan,nan,0.005,0.002,0.00,0.0,0.0,499.7,0.0,0.0,0,0,0.000,0,0.01,0.03
