source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260316_000000.BIN,389.26,90.91,0.00,0,0,0,nan,nan,nan,-0.023,-0.009,0.00,0.0,0.0,389.3,0.0,0.0,0,0,0.000,0,0.02,0.05
DATA_20260316_001834.BIN,316.80,90.91,0.00,0,0,0,nan,nan,nan,-0.223,-0.125,0.00,0.0,0.0,316.8,0.0,0.0,0,0,0.000,0,0.32,0.32
DATA_20260316_013408.BIN,329.15,90.91,0.00,0,0,0,nan,nan,nan,0.013,0.006,0.00,0.0,0.0,329.2,0.0,0.0,0,0,0.000,0,0.06,0.08
DATA_20260316_014810.BIN,699.04,90.91,0.00,0,0,0,nan,nan,nan,-0.004,0.060,0.00,0.0,0.0,699.0,0.0,0.0,0,0,0.000,0,0.07,0.09
DATA_20260316_020000.BIN,601.16,90.91,0.00,0,0,0,nan,nan,nan,0.000,0.013,0.00,0.0,0.0,601.2,0.0,0.0,0,0,0.000,0,0.02,0.02
DATA_20260316_021834.BIN,196.90,90.91,0.00,0,0,0,nan,nan,nan,0.034,-0.032,0.00,0.0,0.0,196.9,0.0,0.0,0,0,0.000,0,0.03,0.04
DATA_20260316_072326.BIN,2186.60,90.91,1463.24,131,131,0,8.607,25.213,16.606,16.475,-4.255,0.00,1689.6,408.7,1.7,86.5,1173.7,174,61,1.277,6,83.57,133.56
DATA_20260316_080000.BIN,3592.27,90.91,2970.73,250,250,0,9.053,25.525,16.472,8.944,8.956,-68.25,1888.9,1167.0,259.0,277.4,1283.8,496,80,1.284,37,60.60,88.75
DATA_20260316_090000.BIN,3586.03,90.91,2012.05,104,104,0,7.965,26.919,18.954,-30.911,-2.211,-68.50,1772.6,875.3,767.8,170.3,1055.7,337,72,1.286,28,52.27,88.93
DATA_20260316_100000.BIN,3586.21,90.91,1042.49,44,44,0,8.327,21.423,13.096,30.285,-23.755,-87.79,1232.4,473.4,1813.1,67.3,447.2,134,29,1.263,9,19.62,82.28
DATA_20260316_110000.BIN,3586.80,90.91,468.60,6,6,0,31.571,57.562,25.992,-14.856,1.531,-47.18,1544.1,617.4,1377.9,47.4,239.0,87,14,1.285,3,40.54,73.77
DATA_20260316_120000.BIN,3584.34,90.91,1203.86,134,134,0,4.937,19.512,14.575,34.973,-22.268,138.28,1518.4,1915.2,31.2,119.4,285.3,239,20,1.285,20,56.13,72.68
DATA_20260316_130000.BIN,3581.64,90.91,2145.15,143,143,0,4.026,17.637,13.610,28.029,4.432,107.79,2263.1,944.9,263.0,110.6,655.7,209,42,1.281,25,71.87,94.53
DATA_20260316_180833.BIN,643.50,90.91,0.00,0,0,0,nan,nan,nan,-0.100,0.091,0.00,0.0,0.0,643.5,0.0,0.0,0,0,0.000,0,0.03,0.03
DATA_20260316_181952.BIN,707.30,90.91,0.00,0,0,0,nan,nan,nan,-0.082,-0.145,0.00,0.0,0.0,707.3,0.0,0.0,0,0,0.000,0,0.10,0.11
DATA_20260316_201958.BIN,243.10,90.91,0.00,0,0,0,nan,nan,nan,0.035,-0.003,0.00,0.0,0.0,243.1,0.0,0.0,0,0,0.000,0,0.05,0.06
DATA_20260316_224616.BIN,805.33,90.91,0.00,0,0,0,nan,nan,nan,0.109,-0.074,0.00,0.0,0.0,805.3,0.0,0.0,0,0,0.000,0,0.13,0.16
DATA_20260316_234823.BIN,683.78,90.91,0.00,0,0,0,nan,nan,nan,-0.014,0.019,0.00,0.0,0.0,683.8,0.0,0.0,0,0,0.000,0,0.04,0.05
