source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260311_000000.BIN,540.64,90.91,0.00,0,0,0,nan,nan,nan,0.017,-0.031,0.00,0.0,0.0,540.6,0.0,0.0,0,0,0.000,0,0.04,0.08
DATA_20260311_002247.BIN,666.60,90.91,0.00,0,0,0,nan,nan,nan,-0.011,0.112,0.00,0.0,0.0,666.6,0.0,0.0,0,0,0.000,0,0.14,0.14
DATA_20260311_070000.BIN,3594.76,90.91,1046.25,165,165,0,3.609,15.800,12.191,-17.637,-6.401,-74.45,670.6,1541.9,1248.3,133.9,524.5,269,45,1.267,27,29.69,75.24
DATA_20260311_080000.BIN,3584.23,90.91,2423.19,523,523,0,2.328,9.424,7.096,36.125,4.267,-4.54,1639.6,1086.1,593.3,265.3,1272.3,515,66,1.285,35,52.09,92.94
DATA_20260311_090000.BIN,3583.94,90.91,2544.48,234,234,0,18.678,35.144,16.466,-35.014,-3.935,-38.15,1250.6,1514.0,388.6,430.7,1932.4,818,83,1.286,55,47.14,77.38
DATA_20260311_100000.BIN,3585.35,90.91,1842.79,184,184,0,3.254,13.030,9.776,7.780,4.619,69.57,1200.0,1215.3,1093.1,77.0,674.3,149,60,1.244,15,31.04,78.19
DATA_20260311_110000.BIN,3585.62,90.91,923.36,107,107,0,4.021,12.484,8.462,-6.455,-6.426,-170.64,2401.7,785.2,308.8,89.9,355.6,171,26,1.266,20,89.52,100.90
DATA_20260311_120000.BIN,3584.92,90.91,673.05,73,73,0,2.229,12.068,9.839,-8.703,-16.593,-7.68,3303.7,224.5,21.0,35.7,279.1,66,17,1.269,5,78.73,86.92
DATA_20260311_130000.BIN,3583.46,90.91,935.46,145,145,0,3.590,10.888,7.298,-8.096,11.321,-122.45,2238.8,367.2,889.3,88.2,377.9,180,26,1.277,25,64.77,70.56
DATA_20260311_140000.BIN,3584.21,90.91,1325.04,157,157,0,3.459,13.335,9.876,-0.818,-16.200,18.45,611.4,1899.4,859.8,213.7,560.5,415,39,1.277,45,40.84,64.26
DATA_20260311_150000.BIN,1409.79,90.91,190.26,37,37,0,3.637,15.653,12.015,-0.127,-25.206,-132.37,321.4,44.4,1005.6,38.5,130.8,79,13,1.270,8,14.76,89.00
DATA_20260311_192052.BIN,84.28,90.91,0.00,0,0,0,nan,nan,nan,0.054,0.003,0.00,0.0,0.0,84.3,0.0,0.0,0,0,0.000,0,0.02,0.04
DATA_20260311_200000.BIN,3026.42,90.91,0.00,0,0,0,nan,nan,nan,-0.102,-0.139,0.00,0.0,0.0,3026.4,0.0,0.0,0,0,0.000,0,0.03,0.41
DATA_20260311_210000.BIN,2162.70,90.91,0.00,0,0,0,nan,nan,nan,0.105,-0.007,0.00,0.0,0.0,2162.7,0.0,0.0,0,0,0.000,0,0.07,0.12
DATA_20260311_222832.BIN,1609.28,90.91,0.00,0,0,0,nan,nan,nan,0.008,0.001,0.00,0.0,0.0,1609.3,0.0,0.0,0,0,0.000,0,0.01,0.02
DATA_20260311_232631.BIN,1506.09,90.91,0.00,0,0,0,nan,nan,nan,-0.007,0.006,0.00,0.0,0.0,1506.1,0.0,0.0,0,0,0.000,0,0.03,0.04
DATA_20260311_235301.BIN,404.27,90.91,0.00,0,0,0,nan,nan,nan,-0.027,0.018,0.00,0.0,0.0,404.3,0.0,0.0,0,0,0.000,0,0.03,0.03
