source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260312_000000.BIN,549.96,90.91,0.00,0,0,0,nan,nan,nan,0.002,-0.013,0.00,0.0,0.0,550.0,0.0,0.0,0,0,0.000,0,0.01,0.03
DATA_20260312_001046.BIN,1585.13,90.91,0.00,0,0,0,nan,nan,nan,-0.013,-0.003,0.00,0.0,0.0,1585.1,0.0,0.0,0,0,0.000,0,0.01,0.01
DATA_20260312_003832.BIN,1271.18,90.91,0.00,0,0,0,nan,nan,nan,-0.005,-0.001,0.00,0.0,0.0,1271.2,0.0,0.0,0,0,0.000,0,0.01,0.02
DATA_20260312_010000.BIN,3315.83,90.91,0.00,0,0,0,nan,nan,nan,0.019,0.009,0.00,0.0,0.0,3315.8,0.0,0.0,0,0,0.000,0,0.02,0.04
DATA_20260312_025031.BIN,560.33,90.91,0.00,0,0,0,nan,nan,nan,0.047,-0.004,0.00,0.0,0.0,560.3,0.0,0.0,0,0,0.000,0,0.03,0.05
DATA_20260312_030000.BIN,510.24,90.91,0.00,0,0,0,nan,nan,nan,0.007,0.013,0.00,0.0,0.0,510.2,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260312_030916.BIN,872.90,90.91,0.00,0,0,0,nan,nan,nan,-0.048,-0.039,0.00,0.0,0.0,872.9,0.0,0.0,0,0,0.000,0,0.06,0.07
DATA_20260312_032446.BIN,656.13,90.91,0.00,0,0,0,nan,nan,nan,0.005,0.001,0.00,0.0,0.0,656.1,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260312_033646.BIN,1371.28,90.91,0.00,0,0,0,nan,nan,nan,-0.015,0.003,0.00,0.0,0.0,1371.3,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260312_040000.BIN,698.82,90.91,0.00,0,0,0,nan,nan,nan,-0.008,0.008,0.00,0.0,0.0,698.8,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260312_045145.BIN,118.44,90.91,0.00,0,0,0,nan,nan,nan,0.390,1.934,0.00,0.0,0.0,118.4,0.0,0.0,0,0,0.000,0,13.91,13.92
DATA_20260312_104040.BIN,157.30,90.91,0.00,0,0,0,nan,nan,nan,0.048,0.075,0.00,0.0,0.0,157.3,0.0,0.0,0,0,0.000,0,0.12,0.17
DATA_20260312_130000.BIN,2277.00,90.91,590.48,100,100,0,4.147,16.580,12.433,-22.153,-13.753,-75.54,173.7,901.3,1152.0,50.0,160.2,101,17,1.252,11,21.74,55.66
DATA_20260312_170720.BIN,928.37,90.91,0.00,0,0,0,nan,nan,nan,0.014,0.103,0.00,0.0,0.0,928.4,0.0,0.0,0,0,0.000,0,0.07,0.14
DATA_20260312_172431.BIN,2041.48,90.91,0.00,0,0,0,nan,nan,nan,-0.052,-0.022,-4.25,0.0,0.0,2041.5,0.0,0.0,0,0,0.000,0,0.05,0.09
DATA_20260312_180000.BIN,2832.22,90.91,6.95,2,2,0,1.294,9.583,8.290,0.254,0.162,-106.55,0.0,0.0,2832.2,0.0,0.0,0,0,0.000,0,0.19,0.21
DATA_20260312_222556.BIN,1040.60,90.91,0.00,0,0,0,nan,nan,nan,0.002,-0.206,0.00,0.0,0.0,1040.6,0.0,0.0,0,0,0.000,0,0.07,0.13
DATA_20260312_230000.BIN,952.34,90.91,0.00,0,0,0,nan,nan,nan,0.014,0.027,0.00,0.0,0.0,952.3,0.0,0.0,0,0,0.000,0,0.05,0.06
