source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260316_000010.BIN,3530.97,90.91,0.00,0,0,0,nan,nan,nan,0.300,-0.078,0.00,0.0,0.0,3531.0,0.0,0.0,0,0,0.000,0,0.41,0.46
DATA_20260316_010000.BIN,277.23,90.91,0.00,0,0,0,nan,nan,nan,-0.017,0.046,0.00,0.0,0.0,277.2,0.0,0.0,0,0,0.000,0,0.03,0.04
DATA_20260316_010613.BIN,3171.81,90.91,0.00,0,0,0,nan,nan,nan,0.118,0.055,0.00,0.0,0.0,3171.8,0.0,0.0,0,0,0.000,0,0.19,0.22
DATA_20260316_020000.BIN,635.29,90.91,0.00,0,0,0,nan,nan,nan,-0.001,0.017,0.00,0.0,0.0,635.3,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260316_021115.BIN,1852.40,90.91,0.00,0,0,0,nan,nan,nan,-0.325,0.174,0.00,0.0,0.0,1852.4,0.0,0.0,0,0,0.000,0,0.42,0.45
DATA_20260316_025017.BIN,567.08,90.91,0.00,0,0,0,nan,nan,nan,-0.297,0.094,0.00,0.0,0.0,567.1,0.0,0.0,0,0,0.000,0,0.30,0.31
DATA_20260316_030000.BIN,1346.92,90.91,0.00,0,0,0,nan,nan,nan,-0.006,-0.020,0.00,0.0,0.0,1346.9,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260316_033018.BIN,1748.86,90.91,0.00,0,0,0,nan,nan,nan,-0.031,-0.228,0.00,0.0,0.0,1748.9,0.0,0.0,0,0,0.000,0,0.11,0.12
DATA_20260316_040000.BIN,162.94,90.91,0.00,0,0,0,nan,nan,nan,0.009,-0.001,0.00,0.0,0.0,162.9,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260316_044522.BIN,858.84,90.91,0.00,0,0,0,nan,nan,nan,-0.416,-0.130,0.00,0.0,0.0,858.8,0.0,0.0,0,0,0.000,0,0.40,0.42
DATA_20260316_050000.BIN,990.26,90.91,0.00,0,0,0,nan,nan,nan,-0.010,0.019,0.00,0.0,0.0,990.3,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260316_051716.BIN,1854.60,90.91,0.00,0,0,0,nan,nan,nan,0.235,-0.071,0.00,0.0,0.0,1854.6,0.0,0.0,0,0,0.000,0,0.28,0.32
DATA_20260316_055221.BIN,444.51,90.91,0.00,0,0,0,nan,nan,nan,0.004,0.049,0.00,0.0,0.0,444.5,0.0,0.0,0,0,0.000,0,0.03,0.04
DATA_20260316_060000.BIN,1459.59,90.91,0.00,0,0,0,nan,nan,nan,0.016,0.005,0.00,0.0,0.0,1459.6,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260316_062951.BIN,1783.58,90.91,901.49,47,47,0,2.633,9.402,6.769,7.318,-2.241,0.00,561.3,911.6,306.8,4.0,20.8,6,3,1.300,3,32.39,94.16
