source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260325_000000.BIN,2635.34,90.91,0.00,0,0,0,nan,nan,nan,-0.003,-0.010,0.00,0.0,0.0,2635.3,0.0,0.0,0,0,0.000,0,0.01,0.02
DATA_20260325_005044.BIN,536.40,90.91,0.00,0,0,0,nan,nan,nan,0.059,0.027,0.00,0.0,0.0,536.4,0.0,0.0,0,0,0.000,0,0.10,0.12
DATA_20260325_010000.BIN,3541.79,90.91,0.00,0,0,0,nan,nan,nan,-0.004,-0.005,0.00,0.0,0.0,3541.8,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260325_020000.BIN,1565.66,90.91,0.00,0,0,0,nan,nan,nan,-0.015,0.017,0.00,0.0,0.0,1565.7,0.0,0.0,0,0,0.000,0,0.01,0.02
DATA_20260325_023202.BIN,1635.15,90.91,0.00,0,0,0,nan,nan,nan,-0.051,-0.089,0.00,0.0,0.0,1635.2,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260325_030000.BIN,268.24,90.91,0.00,0,0,0,nan,nan,nan,0.002,0.000,0.00,0.0,0.0,268.2,0.0,0.0,0,0,0.000,0,0.01,0.02
DATA_20260325_030528.BIN,1825.60,90.91,0.00,0,0,0,nan,nan,nan,-0.102,-0.090,0.00,0.0,0.0,1825.6,0.0,0.0,0,0,0.000,0,0.04,0.06
DATA_20260325_033826.BIN,1230.28,90.91,0.00,0,0,0,nan,nan,nan,-0.012,0.008,0.00,0.0,0.0,1230.3,0.0,0.0,0,0,0.000,0,0.01,0.02
DATA_20260325_040000.BIN,620.11,90.91,0.00,0,0,0,nan,nan,nan,-0.005,-0.003,0.00,0.0,0.0,620.1,0.0,0.0,0,0,0.000,0,0.01,0.02
DATA_20260325_044440.BIN,892.43,90.91,0.00,0,0,0,nan,nan,nan,0.091,0.034,0.00,0.0,0.0,892.4,0.0,0.0,0,0,0.000,0,0.21,0.26
DATA_20260325_050049.BIN,1858.00,90.91,0.00,0,0,0,nan,nan,nan,0.032,-0.067,0.00,0.0,0.0,1858.0,0.0,0.0,0,0,0.000,0,0.09,0.12
DATA_20260325_060706.BIN,1847.04,90.91,0.00,0,0,0,nan,nan,nan,0.115,0.098,0.00,0.0,0.0,1847.0,0.0,0.0,0,0,0.000,0,0.23,0.29
DATA_20260325_064049.BIN,1121.68,90.91,0.00,0,0,0,nan,nan,nan,-0.023,0.221,0.00,0.0,0.0,1121.7,0.0,0.0,0,0,0.000,0,0.16,0.18
DATA_20260325_070000.BIN,738.83,90.91,0.00,0,0,0,nan,nan,nan,-0.001,0.025,0.00,0.0,0.0,738.8,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260325_071910.BIN,1695.10,90.91,0.00,0,0,0,nan,nan,nan,0.105,-0.032,0.00,0.0,0.0,1695.1,0.0,0.0,0,0,0.000,0,0.10,0.11
DATA_20260325_074840.BIN,655.34,90.91,161.57,29,29,0,1.629,6.427,4.798,-3.669,-4.461,0.00,577.4,77.9,0.0,0.0,0.0,0,0,0.000,0,91.99,93.82
DATA_20260325_080000.BIN,3561.36,90.91,3071.86,400,400,0,3.592,12.781,9.189,17.976,-4.717,-151.18,3540.0,0.0,21.4,0.0,952.9,0,88,1.264,0,110.82,160.79
DATA_20260325_090000.BIN,3549.61,90.91,2817.78,664,664,0,2.284,9.171,6.888,21.140,-3.313,-100.75,1785.0,980.9,623.0,160.8,733.3,261,64,1.267,33,52.92,104.89
DATA_20260325_100000.BIN,3547.53,90.91,1488.04,204,204,0,3.537,16.704,13.166,6.574,-4.345,-63.10,1459.7,1509.6,466.7,111.6,631.3,204,52,1.260,16,57.31,117.64
DATA_20260325_110000.BIN,3549.22,90.91,1517.16,224,224,0,3.857,16.435,12.578,17.271,4.717,-83.09,1947.0,1207.4,249.6,145.3,634.5,253,49,1.274,19,74.20,111.22
DATA_20260325_120000.BIN,3550.12,90.91,1681.79,357,357,0,3.176,12.890,9.713,0.378,-5.743,-84.68,1627.5,409.5,1422.4,90.8,655.2,159,51,1.265,19,44.68,121.96
DATA_20260325_130000.BIN,3545.55,90.91,2254.21,464,464,0,3.226,14.073,10.847,-1.267,-31.096,-85.65,2560.0,539.8,297.4,148.4,1117.6,270,91,1.271,17,96.27,127.64
DATA_20260325_140000.BIN,3548.40,90.91,847.13,139,139,0,4.994,16.121,11.128,22.635,-19.031,-83.43,518.5,2238.6,778.4,12.9,47.7,22,6,1.256,12,55.60,71.48
DATA_20260325_150000.BIN,3549.92,90.91,706.31,158,158,0,4.125,19.769,15.644,-15.496,14.467,95.48,940.7,0.0,2609.3,0.0,24.7,0,3,1.298,0,10.08,101.86
DATA_20260325_160000.BIN,1808.95,90.91,722.11,93,93,0,3.365,16.578,13.213,10.929,-4.225,-99.28,1086.2,448.9,191.7,82.1,313.3,136,27,1.269,12,76.48,136.09
DATA_20260325_192103.BIN,477.73,90.91,0.00,0,0,0,nan,nan,nan,-0.003,0.050,0.00,0.0,0.0,477.7,0.0,0.0,0,0,0.000,0,0.06,0.07
DATA_20260325_211132.BIN,1933.93,90.91,0.00,0,0,0,nan,nan,nan,0.132,0.105,0.00,0.0,0.0,1933.9,0.0,0.0,0,0,0.000,0,0.18,0.21
DATA_20260325_214608.BIN,800.44,90.91,0.00,0,0,0,nan,nan,nan,-0.035,0.004,0.00,0.0,0.0,800.4,0.0,0.0,0,0,0.000,0,0.05,0.07
