source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260317_000229.BIN,1898.60,90.91,0.00,0,0,0,nan,nan,nan,-0.121,-0.098,0.00,0.0,0.0,1898.6,0.0,0.0,0,0,0.000,0,0.07,0.08
DATA_20260317_004325.BIN,973.19,90.91,0.00,0,0,0,nan,nan,nan,-0.164,-0.029,0.00,0.0,0.0,973.2,0.0,0.0,0,0,0.000,0,0.06,0.08
DATA_20260317_010000.BIN,2764.61,90.91,0.00,0,0,0,nan,nan,nan,0.015,-0.000,0.00,0.0,0.0,2764.6,0.0,0.0,0,0,0.000,0,0.01,0.02
DATA_20260317_015524.BIN,265.12,90.91,0.00,0,0,0,nan,nan,nan,-0.182,-0.008,0.00,0.0,0.0,265.1,0.0,0.0,0,0,0.000,0,0.05,0.06
DATA_20260317_020000.BIN,1582.88,90.91,0.00,0,0,0,nan,nan,nan,0.008,-0.013,0.00,0.0,0.0,1582.9,0.0,0.0,0,0,0.000,0,0.01,0.02
DATA_20260317_022831.BIN,1853.52,90.91,0.00,0,0,0,nan,nan,nan,0.022,-0.155,0.00,0.0,0.0,1853.5,0.0,0.0,0,0,0.000,0,0.15,0.16
DATA_20260317_030000.BIN,3543.35,90.91,0.00,0,0,0,nan,nan,nan,-0.018,-0.004,0.00,0.0,0.0,3543.4,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260317_040000.BIN,278.03,90.91,0.00,0,0,0,nan,nan,nan,-0.000,0.004,0.00,0.0,0.0,278.0,0.0,0.0,0,0,0.000,0,0.01,0.01
DATA_20260317_040520.BIN,1856.80,90.91,0.00,0,0,0,nan,nan,nan,-0.008,-0.003,0.00,0.0,0.0,1856.8,0.0,0.0,0,0,0.000,0,0.03,0.05
DATA_20260317_044202.BIN,1056.63,90.91,0.00,0,0,0,nan,nan,nan,-0.039,-0.012,0.00,0.0,0.0,1056.6,0.0,0.0,0,0,0.000,0,0.10,0.11
DATA_20260317_050000.BIN,873.87,90.91,0.00,0,0,0,nan,nan,nan,-0.008,0.004,0.00,0.0,0.0,873.9,0.0,0.0,0,0,0.000,0,0.01,0.02
DATA_20260317_051742.BIN,1831.50,90.91,0.00,0,0,0,nan,nan,nan,-0.039,-0.009,0.00,0.0,0.0,1831.5,0.0,0.0,0,0,0.000,0,0.05,0.08
DATA_20260317_055542.BIN,250.45,90.91,95.13,3,3,0,2.107,8.307,6.200,-0.221,-3.546,0.00,186.9,39.0,24.6,0.0,0.0,0,0,0.000,0,86.63,101.47
DATA_20260317_060000.BIN,3560.66,90.91,785.00,1,1,0,12.512,28.315,15.803,-17.375,1.693,32.18,3378.9,122.0,40.7,19.1,33.2,30,4,1.278,2,97.42,121.41
DATA_20260317_070000.BIN,3551.77,90.91,2883.21,385,385,0,2.448,7.897,5.449,12.571,-7.477,-121.88,1653.5,1082.4,661.9,154.0,639.6,237,48,1.272,31,50.63,100.70
DATA_20260317_080000.BIN,3553.22,90.91,2690.84,451,451,0,2.460,8.994,6.533,-0.404,0.570,24.73,2831.0,530.1,108.9,83.3,538.9,131,47,1.274,11,91.70,111.98
DATA_20260317_090000.BIN,3549.03,90.91,894.78,208,208,0,2.353,8.960,6.608,-1.134,7.135,-24.76,2908.0,281.5,333.8,25.7,66.9,44,6,1.286,9,99.91,129.43
DATA_20260317_100000.BIN,3549.85,90.91,1490.98,321,321,0,2.222,9.934,7.711,-5.281,-3.064,119.28,2830.3,544.3,113.1,62.1,281.5,105,25,1.280,9,92.14,112.95
DATA_20260317_110000.BIN,3549.72,90.91,1621.77,407,407,0,2.146,8.598,6.452,-6.405,0.923,-50.51,2722.5,446.5,312.6,68.1,409.7,115,33,1.265,14,76.83,112.90
DATA_20260317_120000.BIN,3549.00,90.91,1461.90,253,253,0,2.383,10.870,8.487,-3.328,-0.127,123.00,1097.9,1828.0,615.5,7.6,44.2,11,5,1.300,12,39.77,98.95
DATA_20260317_130000.BIN,3551.01,90.91,614.20,182,182,0,1.499,7.828,6.330,-33.166,12.692,91.09,833.5,0.0,2717.5,0.0,57.9,0,6,1.286,0,4.88,101.63
DATA_20260317_140000.BIN,3551.01,90.91,2174.48,747,747,0,1.803,7.943,6.140,39.903,-15.520,-80.52,2284.4,77.8,1188.8,0.0,938.7,0,76,1.275,0,81.14,156.15
DATA_20260317_150000.BIN,1574.09,90.91,15.86,1,1,0,1.132,37.045,35.912,5.616,-1.860,0.51,12.1,0.0,1562.0,0.0,0.0,0,0,0.000,0,4.17,6.15
DATA_20260317_183422.BIN,1394.80,90.91,0.00,0,0,0,nan,nan,nan,-0.070,-0.097,0.00,0.0,0.0,1394.8,0.0,0.0,0,0,0.000,0,0.08,0.10
DATA_20260317_190057.BIN,1481.70,90.91,0.00,0,0,0,nan,nan,nan,0.045,-0.032,0.00,0.0,0.0,1481.7,0.0,0.0,0,0,0.000,0,0.04,0.07
DATA_20260317_193306.BIN,1356.30,90.91,0.00,0,0,0,nan,nan,nan,0.176,-0.093,0.00,0.0,0.0,1356.3,0.0,0.0,0,0,0.000,0,0.03,0.04
DATA_20260317_200237.BIN,1490.50,90.91,0.00,0,0,0,nan,nan,nan,-0.025,-0.160,0.00,0.0,0.0,1490.5,0.0,0.0,0,0,0.000,0,0.08,0.15
DATA_20260317_203520.BIN,231.35,90.91,0.00,0,0,0,nan,nan,nan,-0.117,-0.059,0.00,0.0,0.0,231.4,0.0,0.0,0,0,0.000,0,0.02,0.04
DATA_20260317_204633.BIN,196.96,90.91,0.00,0,0,0,nan,nan,nan,0.035,-0.012,0.00,0.0,0.0,197.0,0.0,0.0,0,0,0.000,0,0.05,0.07
DATA_20260317_205221.BIN,188.23,90.91,0.00,0,0,0,nan,nan,nan,-0.063,-0.055,0.00,0.0,0.0,188.2,0.0,0.0,0,0,0.000,0,0.10,0.11
DATA_20260317_211749.BIN,1940.40,90.91,0.00,0,0,0,nan,nan,nan,-0.143,-0.050,0.00,0.0,0.0,1940.4,0.0,0.0,0,0,0.000,0,0.05,0.07
DATA_20260317_215511.BIN,275.58,90.91,0.00,0,0,0,nan,nan,nan,0.025,-0.045,0.00,0.0,0.0,275.6,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260317_220000.BIN,3546.49,90.91,0.00,0,0,0,nan,nan,nan,0.005,-0.017,0.00,0.0,0.0,3546.5,0.0,0.0,0,0,0.000,0,0.04,0.15
DATA_20260317_230000.BIN,1812.13,90.91,0.00,0,0,0,nan,nan,nan,-0.023,-0.087,0.00,0.0,0.0,1812.1,0.0,0.0,0,0,0.000,0,0.10,0.13
DATA_20260317_233509.BIN,1461.01,90.91,0.00,0,0,0,nan,nan,nan,0.017,-0.075,0.00,0.0,0.0,1461.0,0.0,0.0,0,0,0.000,0,0.04,0.07
