source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260326_000000.BIN,1803.59,90.91,0.00,0,0,0,nan,nan,nan,-0.023,0.019,0.00,0.0,0.0,1803.6,0.0,0.0,0,0,0.000,0,0.01,0.03
DATA_20260326_003326.BIN,1552.58,90.91,0.00,0,0,0,nan,nan,nan,-0.038,-0.035,0.00,0.0,0.0,1552.6,0.0,0.0,0,0,0.000,0,0.02,0.04
DATA_20260326_010000.BIN,267.39,90.91,0.00,0,0,0,nan,nan,nan,-0.007,-0.000,0.00,0.0,0.0,267.4,0.0,0.0,0,0,0.000,0,0.01,0.03
DATA_20260326_014951.BIN,579.55,90.91,0.00,0,0,0,nan,nan,nan,0.163,-0.024,0.00,0.0,0.0,579.5,0.0,0.0,0,0,0.000,0,0.09,0.15
DATA_20260326_020000.BIN,1331.30,90.91,0.00,0,0,0,nan,nan,nan,0.038,0.005,0.00,0.0,0.0,1331.3,0.0,0.0,0,0,0.000,0,0.06,0.07
DATA_20260326_022330.BIN,1826.00,90.91,0.00,0,0,0,nan,nan,nan,0.091,0.087,0.00,0.0,0.0,1826.0,0.0,0.0,0,0,0.000,0,0.20,0.21
DATA_20260326_030000.BIN,1808.77,90.91,0.00,0,0,0,nan,nan,nan,0.004,0.037,0.00,0.0,0.0,1808.8,0.0,0.0,0,0,0.000,0,0.03,0.05
DATA_20260326_033408.BIN,1513.63,90.91,0.00,0,0,0,nan,nan,nan,0.080,0.006,0.00,0.0,0.0,1513.6,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260326_040000.BIN,3541.33,90.91,0.00,0,0,0,nan,nan,nan,-0.009,0.007,0.00,0.0,0.0,3541.3,0.0,0.0,0,0,0.000,0,0.03,0.05
DATA_20260326_050000.BIN,620.08,90.91,0.00,0,0,0,nan,nan,nan,-0.010,-0.003,0.00,0.0,0.0,620.1,0.0,0.0,0,0,0.000,0,0.01,0.02
DATA_20260326_051245.BIN,2776.53,90.91,0.00,0,0,0,nan,nan,nan,0.143,0.010,0.00,0.0,0.0,2776.5,0.0,0.0,0,0,0.000,0,0.06,0.07
DATA_20260326_060000.BIN,739.07,90.91,0.00,0,0,0,nan,nan,nan,0.007,0.009,0.00,0.0,0.0,739.1,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260326_061419.BIN,2696.33,90.91,2358.07,205,205,0,3.997,15.596,11.599,-13.467,-2.655,0.00,1248.0,1188.9,146.9,112.6,511.5,200,51,1.254,26,51.79,91.07
DATA_20260326_070000.BIN,3555.96,90.91,3406.00,327,327,0,11.381,29.311,17.930,30.345,-21.013,78.07,1591.9,1185.8,636.2,142.1,819.2,264,70,1.264,27,51.31,105.12
DATA_20260326_080000.BIN,3551.81,90.91,3462.40,521,521,0,6.710,27.667,20.958,-28.151,25.993,-94.50,2229.4,1174.7,124.3,23.5,212.6,39,21,1.265,9,64.85,103.20
DATA_20260326_090000.BIN,3552.45,90.91,3461.50,361,361,0,10.193,23.341,13.148,33.478,-2.420,115.72,1971.8,1089.4,466.1,25.2,225.8,46,24,1.283,9,60.48,99.80
DATA_20260326_100000.BIN,3551.18,90.91,2955.96,28,28,0,7.736,18.238,10.502,-18.069,-5.056,-64.27,1848.9,686.2,894.1,122.0,494.2,204,44,1.242,24,55.09,117.65
DATA_20260326_110000.BIN,2164.06,90.91,684.75,152,152,0,2.875,12.314,9.440,-45.953,-4.124,15.98,373.3,1154.5,596.3,40.0,213.7,71,14,1.265,8,32.81,82.67
DATA_20260326_121732.BIN,2501.04,90.91,1323.37,189,189,0,2.862,9.968,7.106,-9.164,-3.756,0.00,1393.4,1012.0,0.0,95.6,333.8,160,32,1.264,17,60.74,79.76
DATA_20260326_130000.BIN,3552.33,90.91,877.91,8,8,0,6.846,18.231,11.385,16.629,4.569,-94.17,1372.4,1420.9,661.0,98.0,234.0,153,18,1.265,15,39.44,117.51
DATA_20260326_140000.BIN,1292.43,90.91,576.86,46,46,0,3.161,15.355,12.195,-30.059,5.605,61.01,247.0,269.6,775.1,0.8,19.7,2,3,1.158,7,11.87,99.41
