source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260321_000000.BIN,2153.44,90.91,0.00,0,0,0,nan,nan,nan,-0.013,-0.001,0.00,0.0,0.0,2153.4,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260321_003800.BIN,1285.99,90.91,0.00,0,0,0,nan,nan,nan,0.002,0.045,0.00,0.0,0.0,1286.0,0.0,0.0,0,0,0.000,0,0.16,0.17
DATA_20260321_010000.BIN,3537.35,90.91,0.00,0,0,0,nan,nan,nan,-0.012,-0.013,0.00,0.0,0.0,3537.3,0.0,0.0,0,0,0.000,0,0.03,0.04
DATA_20260321_020000.BIN,2743.62,90.91,0.00,0,0,0,nan,nan,nan,-0.031,-0.002,0.00,0.0,0.0,2743.6,0.0,0.0,0,0,0.000,0,0.03,0.07
DATA_20260321_025628.BIN,193.40,90.91,0.00,0,0,0,nan,nan,nan,0.088,-0.072,0.00,0.0,0.0,193.4,0.0,0.0,0,0,0.000,0,0.11,0.11
DATA_20260321_030000.BIN,3542.99,90.91,0.00,0,0,0,nan,nan,nan,-0.067,-0.012,0.00,0.0,0.0,3543.0,0.0,0.0,0,0,0.000,0,0.06,0.08
DATA_20260321_040137.BIN,3402.48,90.91,0.00,0,0,0,nan,nan,nan,-0.036,-0.019,0.00,0.0,0.0,3402.5,0.0,0.0,0,0,0.000,0,0.04,0.06
DATA_20260321_050000.BIN,267.36,90.91,0.00,0,0,0,nan,nan,nan,-0.014,0.016,0.00,0.0,0.0,267.4,0.0,0.0,0,0,0.000,0,0.01,0.02
DATA_20260321_050445.BIN,1870.54,90.91,0.00,0,0,0,nan,nan,nan,-0.072,0.041,0.00,0.0,0.0,1870.5,0.0,0.0,0,0,0.000,0,0.13,0.14
DATA_20260321_071217.BIN,2823.48,90.91,1218.47,182,182,0,2.281,8.139,5.858,-7.995,-13.056,0.00,2450.0,248.4,90.3,34.7,230.9,57,20,1.283,7,100.00,118.70
DATA_20260321_080000.BIN,3556.76,90.91,3481.43,893,893,0,1.516,5.755,4.238,6.897,-6.908,-137.93,2466.5,578.8,255.1,256.3,1523.7,405,127,1.270,29,77.10,119.70
DATA_20260321_090000.BIN,3547.84,90.91,757.77,87,87,0,3.495,12.612,9.116,4.809,0.027,-38.76,3273.2,216.6,52.2,5.9,65.2,10,9,1.229,2,143.45,151.86
DATA_20260321_100000.BIN,3551.49,90.91,2308.31,526,526,0,2.204,7.727,5.523,16.894,-7.555,-150.96,2453.8,5.9,1091.8,0.0,947.9,0,63,1.261,0,84.92,155.83
DATA_20260321_110000.BIN,3550.93,90.91,2978.84,917,917,0,1.643,6.706,5.063,1.463,-2.872,9.37,2411.4,608.7,142.1,388.7,1901.1,651,131,1.260,41,76.57,119.56
DATA_20260321_120000.BIN,3550.93,90.91,1480.03,250,250,0,1.981,8.202,6.221,-12.365,4.164,64.16,2887.7,554.8,97.5,10.9,70.9,17,10,1.265,8,84.63,146.77
DATA_20260321_130000.BIN,3549.91,90.91,2310.81,407,407,0,2.317,8.447,6.130,5.608,6.714,-121.81,2884.7,112.0,545.2,8.0,931.5,14,80,1.262,1,85.55,148.71
DATA_20260321_140000.BIN,3548.19,90.91,2295.17,353,353,0,1.906,7.427,5.521,0.581,0.771,82.37,1736.3,1364.0,360.3,87.6,418.0,149,42,1.271,21,51.94,112.91
DATA_20260321_150000.BIN,136.16,90.91,67.41,9,9,0,1.562,6.767,5.205,7.048,-6.471,101.51,67.8,0.0,68.3,0.0,0.0,0,0,0.000,0,60.61,121.39
DATA_20260321_172805.BIN,1230.08,90.91,0.00,0,0,0,nan,nan,nan,-0.171,0.037,0.00,0.0,0.0,1230.1,0.0,0.0,0,0,0.000,0,0.14,0.15
DATA_20260321_180322.BIN,599.87,90.91,0.00,0,0,0,nan,nan,nan,-3.614,1.727,0.00,38.1,0.0,561.8,0.0,0.0,0,0,0.000,0,0.08,0.12
DATA_20260321_182743.BIN,407.69,90.91,0.00,0,0,0,nan,nan,nan,-0.057,0.008,0.00,0.0,0.0,407.7,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260321_184103.BIN,902.15,90.91,0.00,0,0,0,nan,nan,nan,-0.042,0.024,0.00,0.0,0.0,902.2,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260321_185743.BIN,123.98,90.91,0.00,0,0,0,nan,nan,nan,-0.035,0.016,0.00,0.0,0.0,124.0,0.0,0.0,0,0,0.000,0,0.01,0.02
DATA_20260321_190000.BIN,123.52,90.91,0.00,0,0,0,nan,nan,nan,0.010,0.006,0.00,0.0,0.0,123.5,0.0,0.0,0,0,0.000,0,0.01,0.02
DATA_20260321_191014.BIN,170.13,90.91,0.00,0,0,0,nan,nan,nan,-0.065,0.046,0.00,0.0,0.0,170.1,0.0,0.0,0,0,0.000,0,0.04,0.06
DATA_20260321_191415.BIN,218.75,90.91,0.00,0,0,0,nan,nan,nan,-0.061,0.025,0.00,0.0,0.0,218.7,0.0,0.0,0,0,0.000,0,0.02,0.03
DATA_20260321_192025.BIN,140.48,90.91,0.00,0,0,0,nan,nan,nan,-0.077,0.073,0.00,0.0,0.0,140.5,0.0,0.0,0,0,0.000,0,0.02,0.05
DATA_20260321_192707.BIN,710.07,90.91,0.00,0,0,0,nan,nan,nan,0.136,0.043,0.00,0.0,0.0,710.1,0.0,0.0,0,0,0.000,0,0.08,0.09
