source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260419_110822.BIN,2634.50,90.91,1786.14,201,201,0,1.476,4.660,3.184,-4.030,3.100,-88.07,2140.5,284.3,209.7,0.0,6.5,0,1,1.300,1,103.15,146.00
DATA_20260419_135249.BIN,427.74,90.91,330.88,57,57,0,0.837,3.834,2.997,-1.831,-0.475,-90.66,251.0,78.4,98.3,0.0,0.0,0,0,0.000,0,57.94,131.62
DATA_20260419_140000.BIN,897.76,90.91,845.68,94,94,0,2.079,4.978,2.899,2.154,0.840,87.38,704.5,116.9,76.4,0.0,0.0,0,0,0.000,1,76.67,133.81
DATA_20260419_153937.BIN,1215.52,90.91,1055.98,112,112,0,1.133,3.870,2.737,-0.102,-2.582,91.53,872.2,134.1,209.2,0.0,12.9,0,2,1.286,3,86.41,141.13
DATA_20260419_160000.BIN,604.98,90.91,434.92,74,74,0,1.144,3.368,2.224,-0.508,0.853,-86.42,536.1,41.3,27.6,0.0,0.0,0,0,0.000,0,109.27,139.12
DATA_20260419_181317.BIN,1284.80,90.91,1205.14,174,174,0,2.035,4.663,2.628,-7.073,7.626,-82.39,1073.7,141.8,69.3,0.0,24.7,0,3,1.300,1,91.49,132.17
DATA_20260419_194655.BIN,778.90,90.91,722.88,71,71,0,1.628,4.429,2.801,-0.616,0.270,-87.89,647.7,95.2,35.9,0.0,15.6,0,2,1.300,0,89.22,139.22
DATA_20260419_200000.BIN,607.10,90.91,603.99,39,39,0,2.114,4.793,2.678,7.347,-0.070,94.10,390.0,116.5,100.5,0.0,23.4,0,3,1.300,0,92.50,141.30
DATA_20260419_202340.BIN,7.17,90.91,0.00,0,0,0,nan,nan,nan,0.713,0.372,-107.13,0.0,0.0,7.2,0.0,0.0,0,0,0.000,0,0.60,4.93
