source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260420_084304.BIN,1009.52,90.91,656.08,79,79,0,1.232,4.458,3.226,-1.183,-2.481,-96.02,814.7,128.8,66.0,0.0,0.0,0,0,0.000,1,76.62,115.16
DATA_20260420_090000.BIN,703.18,90.91,520.15,96,96,0,1.074,3.730,2.656,-1.932,0.036,-94.62,497.1,132.4,66.9,6.7,37.7,10,4,1.300,1,85.74,135.31
DATA_20260420_105150.BIN,475.35,90.91,441.83,196,196,0,1.322,7.834,6.512,-0.396,-1.434,88.63,338.8,71.9,64.6,0.0,10.4,0,1,1.300,2,74.88,137.88
DATA_20260420_110000.BIN,877.65,90.91,749.76,267,267,0,2.035,9.412,7.377,15.820,-6.999,92.04,713.4,109.0,55.3,0.0,18.2,0,2,1.300,3,86.65,129.73
DATA_20260420_124449.BIN,905.90,90.91,880.20,183,183,0,0.736,3.028,2.292,-0.148,-3.200,81.44,774.9,110.2,20.8,0.0,7.8,0,1,1.300,0,77.93,136.26
DATA_20260420_130000.BIN,336.00,90.91,161.44,35,35,0,0.590,2.838,2.248,1.516,0.286,84.95,93.3,74.4,168.3,0.0,0.0,0,0,0.000,1,22.80,134.21
DATA_20260420_143557.BIN,507.10,90.91,463.50,98,98,0,0.674,2.703,2.030,-3.178,-0.383,82.59,406.8,58.7,28.7,12.9,53.0,16,7,1.292,0,77.41,133.85
DATA_20260420_152732.BIN,903.10,90.91,596.38,107,107,0,1.613,4.275,2.663,-2.451,1.142,-97.38,625.2,164.0,113.9,0.0,33.8,0,4,1.300,2,66.99,130.62
DATA_20260420_160341.BIN,1504.80,90.91,761.97,77,77,0,1.753,4.955,3.202,-1.455,-0.647,-90.86,988.7,446.4,63.9,5.8,73.9,8,9,1.274,3,63.11,128.99
DATA_20260420_200627.BIN,1184.70,90.91,893.44,110,110,0,1.303,4.246,2.942,-2.817,0.575,-96.72,621.7,446.2,111.8,5.0,39.7,7,5,1.280,3,55.67,127.82
