source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260417_083457.BIN,1493.86,90.91,942.24,54,54,0,2.076,6.343,4.267,-0.200,3.292,-96.06,960.2,172.8,360.8,0.0,0.0,0,0,0.000,3,72.87,130.62
DATA_20260417_090000.BIN,52.75,90.91,52.49,7,7,0,0.459,3.123,2.663,0.017,0.278,-91.66,34.2,0.0,18.5,0.0,0.0,0,0,0.000,0,31.88,142.03
DATA_20260417_114122.BIN,1111.22,90.91,764.57,118,118,0,0.767,2.932,2.165,-3.618,-0.650,92.63,849.5,166.5,83.9,11.3,46.8,14,5,1.300,3,131.05,144.60
DATA_20260417_120000.BIN,2184.38,90.91,986.61,115,115,0,2.908,5.687,2.779,-4.827,2.603,-87.76,1297.2,735.5,134.2,17.5,60.0,19,6,1.276,4,65.48,119.81
DATA_20260417_150000.BIN,3459.95,90.91,2001.41,1,1,0,12.676,23.352,10.676,14.037,2.024,-102.90,2697.3,576.6,186.0,0.0,6.5,0,1,1.300,5,109.84,129.90
DATA_20260417_162442.BIN,2106.25,90.91,1190.73,114,114,0,1.473,4.675,3.202,6.230,0.237,-90.88,1133.0,180.3,785.0,7.9,28.5,11,3,1.297,5,61.28,134.74
DATA_20260417_170000.BIN,45.35,90.91,43.58,2,2,0,0.489,1.851,1.362,-0.541,-0.467,-76.79,0.0,13.2,32.2,0.0,0.0,0,0,0.000,0,3.71,38.26
DATA_20260417_185521.BIN,276.87,90.91,272.29,36,36,0,0.616,2.797,2.181,2.504,4.275,-100.53,179.4,43.6,53.9,0.0,0.0,0,0,0.000,2,108.68,120.93
DATA_20260417_190000.BIN,3357.53,90.91,1783.43,79,79,0,2.210,4.735,2.525,-1.171,3.093,-94.86,2823.6,323.5,210.4,0.0,28.6,0,4,1.300,1,120.75,131.40
DATA_20260417_195715.BIN,7.13,90.91,6.95,1,1,0,1.164,4.011,2.847,-1.427,-1.782,-57.49,0.0,0.0,7.1,0.0,0.0,0,0,0.000,0,2.35,5.82
