source_file,duration_s,sr,active_s,n_cycles,n_validated,n_rejected,valley_med_cm,peak_med_cm,gap_med_cm,hub_x_cm,hub_y_cm,nose_deg,time_lying_s,time_sitting_s,time_standing_s,time_walking_s,distance_walked_m,n_steps_walking,n_walking_bouts,mean_stride_m,n_sts,s1_tilt_med_deg,s1_tilt_p90_deg
DATA_20260414_071222.BIN,2841.70,90.91,704.20,72,72,0,1.819,9.077,7.257,14.318,-16.379,-108.97,95.4,1812.4,933.9,0.0,0.0,0,0,0.000,8,29.02,44.06
DATA_20260414_080000.BIN,1633.10,90.91,446.16,29,29,0,2.730,11.044,8.315,-1.275,12.142,-152.42,222.1,431.2,979.8,0.0,0.0,0,0,0.000,5,18.20,60.58
DATA_20260414_090615.BIN,3206.82,90.91,490.86,22,22,0,3.768,16.667,12.898,20.981,-8.495,-85.68,143.3,1928.1,1135.4,0.0,0.0,0,0,0.000,5,24.51,51.89
DATA_20260414_100000.BIN,3574.01,90.91,480.02,15,15,0,18.682,58.412,39.730,-22.759,-16.165,97.37,3534.5,12.0,27.4,0.0,0.0,0,0,0.000,0,140.84,154.53
DATA_20260414_110000.BIN,1112.77,90.91,331.14,45,45,0,8.945,29.365,20.421,38.045,17.650,21.57,125.1,571.8,415.9,0.0,0.0,0,0,0.000,4,27.82,62.39
DATA_20260414_120514.BIN,3267.12,90.91,512.60,18,18,0,4.027,14.065,10.038,15.877,-3.120,-69.73,1383.0,954.2,930.0,0.0,0.0,0,0,0.000,2,38.13,137.74
DATA_20260414_130000.BIN,2750.98,90.91,775.68,64,64,0,3.121,17.867,14.747,7.987,12.762,-45.65,698.7,1002.9,1049.4,0.0,0.0,0,0,0.000,6,31.00,67.04
DATA_20260414_141234.BIN,2828.10,90.91,597.01,4,4,0,8.307,18.634,10.327,7.790,4.037,-82.66,1822.8,563.4,441.8,0.0,0.0,0,0,0.000,1,122.93,142.26
DATA_20260414_150000.BIN,2129.60,90.91,379.65,25,25,0,2.480,15.736,13.256,10.211,-1.367,127.27,1029.4,792.7,307.5,0.0,0.0,0,0,0.000,0,59.18,98.76
DATA_20260414_153743.BIN,7.07,90.91,0.00,0,0,0,nan,nan,nan,-0.410,-1.817,-122.20,0.0,0.0,7.1,0.0,0.0,0,0,0.000,0,1.30,20.89
